model,provider,company,params,quantization,file_bytes,prompt_name,prompt_type,precision,recall,f05,tp,fp,fn,sentences,failure_count,prompt_tokens,completion_tokens,total_tokens,exact_match,perfect,unchanged,started,file
openai/gpt-5.6-luna,OpenRouter,OpenAI,,,,long,user,0.6192528735632183,0.7359134889015367,0.6395291324562272,1293,795,464,1418,0,155683,262344,418027,707,707,366,2026-09-14T09:28:36Z,20260914-110322/openai_gpt-5.6-luna/p2.json
openai/gpt-5.6-luna,OpenRouter,OpenAI,,,,korean,user,0.6820128479657388,0.7338709677419355,0.6917897480451781,1274,594,462,1418,0,101802,226553,328355,816,814,434,2026-09-14T09:38:41Z,20260914-110322/openai_gpt-5.6-luna/p3.json
openai/gpt-5.6-luna,OpenRouter,OpenAI,,,,simple,user,0.5324232081911263,0.6898839137645107,0.5578900312919088,1248,1096,561,1418,0,46497,200210,246707,556,555,264,2026-09-14T09:47:48Z,20260914-110322/openai_gpt-5.6-luna/p4.json
openai/gpt-5.6-luna,OpenRouter,OpenAI,,,,extended,system+user,0.6482513938165231,0.732112192329708,0.6634505654113498,1279,694,468,1418,0,61159,236872,298031,780,778,427,2026-09-14T09:58:02Z,20260914-110322/openai_gpt-5.6-luna/p5.json
openai/gpt-5.6-luna,OpenRouter,OpenAI,,,,long,system+user,0.6024378809188936,0.723943661971831,0.6233627631706606,1285,848,490,1418,0,159001,192611,351612,700,700,349,2026-09-14T10:07:57Z,20260914-110322/openai_gpt-5.6-luna/p6.json
openai/gpt-5.6-luna,OpenRouter,OpenAI,,,,korean,system+user,0.6706586826347305,0.7238542890716804,0.6806629834254143,1232,605,470,1418,0,98027,203912,301939,798,796,467,2026-09-14T10:18:18Z,20260914-110322/openai_gpt-5.6-luna/p7.json
openai/gpt-5.6-luna,OpenRouter,OpenAI,,,,simple,system+user,0.5163832434674409,0.6905158069883528,0.5438106053987944,1245,1166,558,1418,0,52651,184877,237528,535,535,263,2026-09-14T10:27:44Z,20260914-110322/openai_gpt-5.6-luna/p8.json
kanana-2-3b-instruct-i1,Local,Kakao,3B,Q6_K,2884436128,extended,user,0.30654881478505425,0.44961697112551563,0.3273835063932035,763,1726,934,1418,0,59672,16287,75959,89,89,35,2026-09-14T09:11:08Z,20260914-110721/kanana-2-3b-instruct-i1/p1.json
kanana-2-3b-instruct-i1,Local,Kakao,3B,Q6_K,2884436128,long,user,0.31260096930533116,0.460166468489893,0.3340238218539617,774,1702,908,1418,0,157514,14982,172496,100,100,50,2026-09-14T09:12:49Z,20260914-110721/kanana-2-3b-instruct-i1/p2.json
kanana-2-3b-instruct-i1,Local,Kakao,3B,Q6_K,2884436128,korean,user,0.28812893081761004,0.4319387153800825,0.3086835677587805,733,1811,964,1418,0,83781,18679,102460,52,52,6,2026-09-14T09:15:50Z,20260914-110721/kanana-2-3b-instruct-i1/p3.json
kanana-2-3b-instruct-i1,Local,Kakao,3B,Q6_K,2884436128,simple,user,0.256477821695213,0.35653235653235654,0.2717290154476084,584,1693,1054,1418,0,49746,16396,66142,48,48,15,2026-09-14T09:20:07Z,20260914-110721/kanana-2-3b-instruct-i1/p4.json
kanana-2-3b-instruct-i1,Local,Kakao,3B,Q6_K,2884436128,extended,system+user,0.17623158963941088,0.22416020671834624,0.1841044142614601,347,1622,1201,1418,0,66959,18089,85048,26,26,5,2026-09-14T09:29:54Z,20260914-110721/kanana-2-3b-instruct-i1/p5.json
kanana-2-3b-instruct-i1,Local,Kakao,3B,Q6_K,2884436128,long,system+user,0.21149317004239285,0.284717818642993,0.22296156520011923,449,1674,1128,1418,0,161965,16919,178884,23,23,8,2026-09-14T09:37:39Z,20260914-110721/kanana-2-3b-instruct-i1/p6.json
kanana-2-3b-instruct-i1,Local,Kakao,3B,Q6_K,2884436128,korean,system+user,0.2956,0.4331770222743259,0.3156500939689048,739,1761,967,1418,0,83975,17246,101221,74,74,28,2026-09-14T09:40:13Z,20260914-110721/kanana-2-3b-instruct-i1/p7.json
kanana-2-3b-instruct-i1,Local,Kakao,3B,Q6_K,2884436128,simple,system+user,0.12090395480225989,0.14266666666666666,0.12470862470862469,214,1556,1286,1418,0,57033,18010,75043,6,6,0,2026-09-14T09:52:22Z,20260914-110721/kanana-2-3b-instruct-i1/p8.json
